,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0,0.7,0.722,7,-3.558,0,0.0369,0.221,0.0,0.272,0.756,90.989,audio_features,3tjFYV6RSFtuktYl3ZtYcq,spotify:track:3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/tracks/3tjFYV6RSFtuktYl3ZtYcq,https://api.spotify.com/v1/audio-analysis/3tjFYV6RSFtuktYl3ZtYcq,140526,4
1,0.799,0.66,1,-6.153,0,0.079,0.256,0.0,0.111,0.471,140.04,audio_features,02kDW379Yfd5PzW5A6vuGt,spotify:track:02kDW379Yfd5PzW5A6vuGt,https://api.spotify.com/v1/tracks/02kDW379Yfd5PzW5A6vuGt,https://api.spotify.com/v1/audio-analysis/02kDW379Yfd5PzW5A6vuGt,195429,4
2,0.627,0.621,8,-7.314,1,0.307,0.207,0.0,0.02,0.496,106.568,audio_features,69ILNxAuh3S9psVAd04cYf,spotify:track:69ILNxAuh3S9psVAd04cYf,https://api.spotify.com/v1/tracks/69ILNxAuh3S9psVAd04cYf,https://api.spotify.com/v1/audio-analysis/69ILNxAuh3S9psVAd04cYf,158277,4
3,0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,133.073,audio_features,4Oun2ylbjFKMPTiaSbbCih,spotify:track:4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/tracks/4Oun2ylbjFKMPTiaSbbCih,https://api.spotify.com/v1/audio-analysis/4Oun2ylbjFKMPTiaSbbCih,187541,4
4,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,audio_features,1tkg4EHVoqnhR6iFEXb60y,spotify:track:1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/tracks/1tkg4EHVoqnhR6iFEXb60y,https://api.spotify.com/v1/audio-analysis/1tkg4EHVoqnhR6iFEXb60y,160000,4
5,0.753,0.75,11,-4.314,1,0.0817,0.00421,3.47e-05,0.0775,0.266,124.998,audio_features,0B12MBErJXdJakVZlZKcNv,spotify:track:0B12MBErJXdJakVZlZKcNv,https://api.spotify.com/v1/tracks/0B12MBErJXdJakVZlZKcNv,https://api.spotify.com/v1/audio-analysis/0B12MBErJXdJakVZlZKcNv,167040,4
6,0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,audio_features,4y4spB9m0Q6026KfkAvy9Q,spotify:track:4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/tracks/4y4spB9m0Q6026KfkAvy9Q,https://api.spotify.com/v1/audio-analysis/4y4spB9m0Q6026KfkAvy9Q,149297,4
7,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,audio_features,1xQ6trAsedVPCdbtDAmk0c,spotify:track:1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/tracks/1xQ6trAsedVPCdbtDAmk0c,https://api.spotify.com/v1/audio-analysis/1xQ6trAsedVPCdbtDAmk0c,171375,4
8,0.62,0.746,2,-3.289,1,0.0342,0.0337,4.84e-05,0.0777,0.774,170.058,audio_features,3WbWc3zPUl9vUxBbwTawBg,spotify:track:3WbWc3zPUl9vUxBbwTawBg,https://api.spotify.com/v1/tracks/3WbWc3zPUl9vUxBbwTawBg,https://api.spotify.com/v1/audio-analysis/3WbWc3zPUl9vUxBbwTawBg,206000,4
9,0.83,0.583,1,-6.175,1,0.0665,0.0926,5.56e-05,0.119,0.322,99.99,audio_features,0hfbDQpdd2Xhf5ghcPGJlK,spotify:track:0hfbDQpdd2Xhf5ghcPGJlK,https://api.spotify.com/v1/tracks/0hfbDQpdd2Xhf5ghcPGJlK,https://api.spotify.com/v1/audio-analysis/0hfbDQpdd2Xhf5ghcPGJlK,147600,4
10,0.874,0.729,9,-5.942,1,0.435,0.0259,0.0,0.296,0.647,145.19,audio_features,7yhNPWeIkqj3qPr85Dbbev,spotify:track:7yhNPWeIkqj3qPr85Dbbev,https://api.spotify.com/v1/tracks/7yhNPWeIkqj3qPr85Dbbev,https://api.spotify.com/v1/audio-analysis/7yhNPWeIkqj3qPr85Dbbev,205241,4
11,0.838,0.726,7,-6.052,0,0.048,0.0169,0.305,0.102,0.897,120.025,audio_features,6piSzfRUIO5Cutz5DChf6e,spotify:track:6piSzfRUIO5Cutz5DChf6e,https://api.spotify.com/v1/tracks/6piSzfRUIO5Cutz5DChf6e,https://api.spotify.com/v1/audio-analysis/6piSzfRUIO5Cutz5DChf6e,153472,4
12,0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,89.977,audio_features,7ytR5pFWmSjzHJIeQkgog4,spotify:track:7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/tracks/7ytR5pFWmSjzHJIeQkgog4,https://api.spotify.com/v1/audio-analysis/7ytR5pFWmSjzHJIeQkgog4,181733,4
13,0.804,0.641,6,-5.926,1,0.0945,0.462,1.67e-06,0.0903,0.711,123.956,audio_features,1GgmYJUmMnsEKhJzKH7ql0,spotify:track:1GgmYJUmMnsEKhJzKH7ql0,https://api.spotify.com/v1/tracks/1GgmYJUmMnsEKhJzKH7ql0,https://api.spotify.com/v1/audio-analysis/1GgmYJUmMnsEKhJzKH7ql0,216773,4
14,0.711,0.598,3,-7.621,0,0.182,0.19,0.0,0.15,0.737,140.175,audio_features,5vGLcdRuSbUhD8ScwsGSdA,spotify:track:5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/tracks/5vGLcdRuSbUhD8ScwsGSdA,https://api.spotify.com/v1/audio-analysis/5vGLcdRuSbUhD8ScwsGSdA,123429,4
15,0.733,0.711,0,-4.843,1,0.0342,0.291,0.0,0.109,0.5,102.025,audio_features,0n5HbXi8xmzz4Z9Wlx142C,spotify:track:0n5HbXi8xmzz4Z9Wlx142C,https://api.spotify.com/v1/tracks/0n5HbXi8xmzz4Z9Wlx142C,https://api.spotify.com/v1/audio-analysis/0n5HbXi8xmzz4Z9Wlx142C,170588,4
16,0.588,0.685,8,-8.08,1,0.0624,0.374,0.000155,0.581,0.122,107.938,audio_features,1l3n3cIyHjEc7F78owErOa,spotify:track:1l3n3cIyHjEc7F78owErOa,https://api.spotify.com/v1/tracks/1l3n3cIyHjEc7F78owErOa,https://api.spotify.com/v1/audio-analysis/1l3n3cIyHjEc7F78owErOa,146669,4
17,0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,audio_features,1fah1uAs7HeTYDlNftKr3K,spotify:track:1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/tracks/1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/audio-analysis/1fah1uAs7HeTYDlNftKr3K,210463,4
18,0.651,0.77,5,-4.321,0,0.0415,0.0284,4.8e-06,0.0403,0.345,122.964,audio_features,61vF6F4b4Gs7ez29gmLCgM,spotify:track:61vF6F4b4Gs7ez29gmLCgM,https://api.spotify.com/v1/tracks/61vF6F4b4Gs7ez29gmLCgM,https://api.spotify.com/v1/audio-analysis/61vF6F4b4Gs7ez29gmLCgM,162439,4
19,0.719,0.872,11,-3.75,0,0.0602,0.27,0.0,0.182,0.758,92.488,audio_features,5S9AqRszdc5WvIu45SzMSQ,spotify:track:5S9AqRszdc5WvIu45SzMSQ,https://api.spotify.com/v1/tracks/5S9AqRszdc5WvIu45SzMSQ,https://api.spotify.com/v1/audio-analysis/5S9AqRszdc5WvIu45SzMSQ,213440,4
20,0.773,0.614,11,-5.49,0,0.0776,0.0678,0.0,0.0873,0.7,115.015,audio_features,5azix4xbmL7Vx9hRhlZL9B,spotify:track:5azix4xbmL7Vx9hRhlZL9B,https://api.spotify.com/v1/tracks/5azix4xbmL7Vx9hRhlZL9B,https://api.spotify.com/v1/audio-analysis/5azix4xbmL7Vx9hRhlZL9B,158668,4
21,0.838,0.513,8,-8.839,1,0.129,0.13,0.000111,0.0813,0.392,121.029,audio_features,3pQHlRvlWeFxClCKo0cTw0,spotify:track:3pQHlRvlWeFxClCKo0cTw0,https://api.spotify.com/v1/tracks/3pQHlRvlWeFxClCKo0cTw0,https://api.spotify.com/v1/audio-analysis/3pQHlRvlWeFxClCKo0cTw0,164628,4
22,0.834,0.663,8,-6.143,1,0.133,0.235,0.0,0.372,0.774,121.876,audio_features,0AUvWawuP0ibk4SQ3sIZjk,spotify:track:0AUvWawuP0ibk4SQ3sIZjk,https://api.spotify.com/v1/tracks/0AUvWawuP0ibk4SQ3sIZjk,https://api.spotify.com/v1/audio-analysis/0AUvWawuP0ibk4SQ3sIZjk,146523,4
23,0.741,0.745,9,-6.097,0,0.0318,0.0586,4.73e-05,0.184,0.367,115.97,audio_features,713xwSVsvQz84gkPN7V5qd,spotify:track:713xwSVsvQz84gkPN7V5qd,https://api.spotify.com/v1/tracks/713xwSVsvQz84gkPN7V5qd,https://api.spotify.com/v1/audio-analysis/713xwSVsvQz84gkPN7V5qd,153103,4
24,0.812,0.828,2,-4.768,1,0.171,0.0677,0.00035,0.0981,0.439,119.006,audio_features,0WGpj9TqTazE6GMrIYt90Z,spotify:track:0WGpj9TqTazE6GMrIYt90Z,https://api.spotify.com/v1/tracks/0WGpj9TqTazE6GMrIYt90Z,https://api.spotify.com/v1/audio-analysis/0WGpj9TqTazE6GMrIYt90Z,183725,4
25,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,audio_features,5u1n1kITHCxxp8twBcZxWy,spotify:track:5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/tracks/5u1n1kITHCxxp8twBcZxWy,https://api.spotify.com/v1/audio-analysis/5u1n1kITHCxxp8twBcZxWy,212093,4
26,0.739,0.703,8,-4.749,1,0.087,0.135,0.0,0.0827,0.362,114.734,audio_features,5K9KKn9ZsH85pUsKI5vTiq,spotify:track:5K9KKn9ZsH85pUsKI5vTiq,https://api.spotify.com/v1/tracks/5K9KKn9ZsH85pUsKI5vTiq,https://api.spotify.com/v1/audio-analysis/5K9KKn9ZsH85pUsKI5vTiq,141913,4
27,0.51,0.644,8,-5.323,1,0.0973,0.339,0.0,0.195,0.356,83.516,audio_features,5VrcvDIi2IvTwZFtWbnty1,spotify:track:5VrcvDIi2IvTwZFtWbnty1,https://api.spotify.com/v1/tracks/5VrcvDIi2IvTwZFtWbnty1,https://api.spotify.com/v1/audio-analysis/5VrcvDIi2IvTwZFtWbnty1,190662,4
