,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
93,0.703,0.443,0,-9.601,0,0.0862,0.0499,0.0,0.338,0.367,136.647,audio_features,03GBiorLGTk7T4IScIl4jj,spotify:track:03GBiorLGTk7T4IScIl4jj,https://api.spotify.com/v1/tracks/03GBiorLGTk7T4IScIl4jj,https://api.spotify.com/v1/audio-analysis/03GBiorLGTk7T4IScIl4jj,350219,4
94,0.744,0.845,4,-7.422,0,0.253,0.759,0.232,0.1,0.749,75.221,audio_features,0SIAFU49FFHwR3QnT5Jx0k,spotify:track:0SIAFU49FFHwR3QnT5Jx0k,https://api.spotify.com/v1/tracks/0SIAFU49FFHwR3QnT5Jx0k,https://api.spotify.com/v1/audio-analysis/0SIAFU49FFHwR3QnT5Jx0k,160000,4
95,0.577,0.724,6,-7.022,0,0.0861,0.195,2.38e-05,0.235,0.459,169.815,audio_features,3pUiKSyV6DZWbzezHhs1Eu,spotify:track:3pUiKSyV6DZWbzezHhs1Eu,https://api.spotify.com/v1/tracks/3pUiKSyV6DZWbzezHhs1Eu,https://api.spotify.com/v1/audio-analysis/3pUiKSyV6DZWbzezHhs1Eu,217412,4
96,0.688,0.748,5,-9.39,0,0.0377,0.0801,0.00453,0.136,0.892,114.144,audio_features,63vL5oxWrlvaJ0ayNaQnbX,spotify:track:63vL5oxWrlvaJ0ayNaQnbX,https://api.spotify.com/v1/tracks/63vL5oxWrlvaJ0ayNaQnbX,https://api.spotify.com/v1/audio-analysis/63vL5oxWrlvaJ0ayNaQnbX,153813,4
97,0.523,0.774,7,-5.982,1,0.0459,0.0399,0.0,0.168,0.46,99.971,audio_features,6GRfCWffkEG93zyUJ1kGaM,spotify:track:6GRfCWffkEG93zyUJ1kGaM,https://api.spotify.com/v1/tracks/6GRfCWffkEG93zyUJ1kGaM,https://api.spotify.com/v1/audio-analysis/6GRfCWffkEG93zyUJ1kGaM,187996,4
98,0.832,0.346,0,-9.64,1,0.036,0.112,1.29e-05,0.0945,0.688,98.512,audio_features,7JTGwb6ug0z15F5roNLE0s,spotify:track:7JTGwb6ug0z15F5roNLE0s,https://api.spotify.com/v1/tracks/7JTGwb6ug0z15F5roNLE0s,https://api.spotify.com/v1/audio-analysis/7JTGwb6ug0z15F5roNLE0s,139851,4
99,0.792,0.698,1,-6.364,1,0.172,0.489,0.0788,0.127,0.751,129.971,audio_features,1vvBUZseJ7fwYPX1NedOLd,spotify:track:1vvBUZseJ7fwYPX1NedOLd,https://api.spotify.com/v1/tracks/1vvBUZseJ7fwYPX1NedOLd,https://api.spotify.com/v1/audio-analysis/1vvBUZseJ7fwYPX1NedOLd,173938,4
100,0.567,0.687,1,-9.041,0,0.125,0.36,0.00293,0.474,0.396,128.201,audio_features,6kx8Hf1Udk4V0Ivq6zpoyG,spotify:track:6kx8Hf1Udk4V0Ivq6zpoyG,https://api.spotify.com/v1/tracks/6kx8Hf1Udk4V0Ivq6zpoyG,https://api.spotify.com/v1/audio-analysis/6kx8Hf1Udk4V0Ivq6zpoyG,115518,4
101,0.683,0.636,7,-12.096,0,0.0978,0.302,0.498,0.0972,0.615,160.012,audio_features,1K4OfBFaLleSUaUVjp1l2X,spotify:track:1K4OfBFaLleSUaUVjp1l2X,https://api.spotify.com/v1/tracks/1K4OfBFaLleSUaUVjp1l2X,https://api.spotify.com/v1/audio-analysis/1K4OfBFaLleSUaUVjp1l2X,142365,4
102,0.608,0.528,1,-11.722,1,0.0338,0.00387,1.4e-05,0.106,0.454,89.221,audio_features,67EUBsc4qosGOVbaYy6TeX,spotify:track:67EUBsc4qosGOVbaYy6TeX,https://api.spotify.com/v1/tracks/67EUBsc4qosGOVbaYy6TeX,https://api.spotify.com/v1/audio-analysis/67EUBsc4qosGOVbaYy6TeX,329050,4
103,0.857,0.575,7,-8.36,1,0.221,0.239,0.0,0.293,0.901,116.993,audio_features,4J2NxCNqehE0MiZhbu97Jx,spotify:track:4J2NxCNqehE0MiZhbu97Jx,https://api.spotify.com/v1/tracks/4J2NxCNqehE0MiZhbu97Jx,https://api.spotify.com/v1/audio-analysis/4J2NxCNqehE0MiZhbu97Jx,147692,4
104,0.934,0.439,4,-9.564,0,0.338,0.00506,0.0,0.092,0.289,140.022,audio_features,2VDadIDCFgDqvVCvaDPtn9,spotify:track:2VDadIDCFgDqvVCvaDPtn9,https://api.spotify.com/v1/tracks/2VDadIDCFgDqvVCvaDPtn9,https://api.spotify.com/v1/audio-analysis/2VDadIDCFgDqvVCvaDPtn9,118776,4
105,0.696,0.301,8,-12.647,1,0.032,0.984,0.624,0.17,0.848,154.929,audio_features,4aMrd3aAnuVgGbwdmAQWY4,spotify:track:4aMrd3aAnuVgGbwdmAQWY4,https://api.spotify.com/v1/tracks/4aMrd3aAnuVgGbwdmAQWY4,https://api.spotify.com/v1/audio-analysis/4aMrd3aAnuVgGbwdmAQWY4,50274,4
106,0.861,0.599,7,-7.814,0,0.217,0.182,0.00855,0.102,0.527,100.026,audio_features,1FOINGDWa0dPgCpMabLT4Y,spotify:track:1FOINGDWa0dPgCpMabLT4Y,https://api.spotify.com/v1/tracks/1FOINGDWa0dPgCpMabLT4Y,https://api.spotify.com/v1/audio-analysis/1FOINGDWa0dPgCpMabLT4Y,144000,4
107,0.887,0.737,6,-6.489,0,0.16,0.243,4.11e-05,0.109,0.685,104.924,audio_features,2DulH2O6UpIL4VDlFhJknT,spotify:track:2DulH2O6UpIL4VDlFhJknT,https://api.spotify.com/v1/tracks/2DulH2O6UpIL4VDlFhJknT,https://api.spotify.com/v1/audio-analysis/2DulH2O6UpIL4VDlFhJknT,184000,4
108,0.845,0.791,3,-3.674,1,0.161,0.0186,0.107,0.0957,0.843,117.987,audio_features,4CIMIZRcwllSonMlzr5wd2,spotify:track:4CIMIZRcwllSonMlzr5wd2,https://api.spotify.com/v1/tracks/4CIMIZRcwllSonMlzr5wd2,https://api.spotify.com/v1/audio-analysis/4CIMIZRcwllSonMlzr5wd2,196400,4
109,0.722,0.405,2,-7.242,1,0.0632,0.91,2.03e-05,0.177,0.726,131.381,audio_features,79AkQ62L32bhBF5sYz5nIA,spotify:track:79AkQ62L32bhBF5sYz5nIA,https://api.spotify.com/v1/tracks/79AkQ62L32bhBF5sYz5nIA,https://api.spotify.com/v1/audio-analysis/79AkQ62L32bhBF5sYz5nIA,222610,4
110,0.895,0.394,1,-8.8,1,0.407,0.000686,0.0,0.239,0.491,141.008,audio_features,5QTbSuoVxRZLch1FkUFaIz,spotify:track:5QTbSuoVxRZLch1FkUFaIz,https://api.spotify.com/v1/tracks/5QTbSuoVxRZLch1FkUFaIz,https://api.spotify.com/v1/audio-analysis/5QTbSuoVxRZLch1FkUFaIz,206733,4
